[16:42:58] === 开始监控 TNOS / SOL (jLVprkYrvz...) ===
[16:42:59] 已知操盘方钱包(bundler/transfer_in/creator/dev_team标签): 40个
[16:42:59] 检测条件: 单笔买入>=$50 且钱包不在上面这个名单里 -> 判定疑似真买家
[16:42:59] 每10秒查一次最新成交,最长跑33分钟
[17:14:14] *** 疑似真买家信号#157 *** 钱包2Cw2eKyn1C... 买入$182.84 (不在已知操盘方名单里,tx=3EBgGrN6jrRY...)
[17:14:14] *** 疑似真买家信号#158 *** 钱包4974YaY6hP... 买入$174.23 (不在已知操盘方名单里,tx=34jytTBbCCTE...)
[17:14:14] *** 疑似真买家信号#159 *** 钱包EoCMG6HzH8... 买入$209.42 (不在已知操盘方名单里,tx=5DQ8VsYUhHfm...)
[17:14:50] *** 疑似真买家信号#160 *** 钱包Bo3aBybhKm... 买入$230.43 (不在已知操盘方名单里,tx=j9m8Vm2WcfkN...)
[17:16:01] *** 疑似真买家信号#161 *** 钱包51FdGnQWX4... 买入$210.85 (不在已知操盘方名单里,tx=2aTDMdNH67BT...)
[17:16:01] *** 疑似真买家信号#162 *** 钱包V2GsQLCWRG... 买入$190.43 (不在已知操盘方名单里,tx=2V6EbdHAZCCw...)
[17:16:01] *** 疑似真买家信号#163 *** 钱包62cf21gmHL... 买入$327.18 (不在已知操盘方名单里,tx=3UXKi4nGZm2F...)
[17:16:01] *** 疑似真买家信号#164 *** 钱包9j4Cz63GDQ... 买入$70.79 (不在已知操盘方名单里,tx=29pnb39w7mLp...)
[17:16:01] *** 疑似真买家信号#165 *** 钱包Hmm2oxd7Fj... 买入$131.93 (不在已知操盘方名单里,tx=3VmVmQUBeZQP...)
[17:16:38] *** 疑似真买家信号#166 *** 钱包TpF3bpjsq7... 买入$177.67 (不在已知操盘方名单里,tx=5LD8ozbmR4Uw...)
[17:16:38] *** 疑似真买家信号#167 *** 钱包9vkAna7w6V... 买入$218.32 (不在已知操盘方名单里,tx=2mvKBtRCKamc...)
[17:16:38] *** 疑似真买家信号#168 *** 钱包62cf21gmHL... 买入$104.56 (不在已知操盘方名单里,tx=371KkidqWDVj...)
[17:16:38] *** 疑似真买家信号#169 *** 钱包8C7WxAmwHP... 买入$270.84 (不在已知操盘方名单里,tx=3zKL7J3ENMYv...)
[17:16:38] *** 疑似真买家信号#170 *** 钱包BaMEE5iY98... 买入$101.86 (不在已知操盘方名单里,tx=2WeTqSjuUnP1...)
