[02:48:29] === 2AbGRmWy 高密度崩盘取证监控启动 ===
[02:48:30] 基线: 价格$0.00064757 流动性$56,921
[06:12:31] 价格$0.00097429  流动性$69,848(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:13:32] 价格$0.00097119  流动性$69,916(峰值$70,024)  已存档300笔逐笔
[06:14:33] 价格$0.00096593  流动性$69,483(峰值$70,024)  已存档300笔逐笔
[06:15:34] 价格$0.00096459  流动性$69,536(峰值$70,024)  已存档300笔逐笔
[06:16:35] 价格$0.00096231  流动性$69,091(峰值$70,024)  已存档300笔逐笔
[06:17:37] 价格$0.00096483  流动性$69,377(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:18:38] 价格$0.00096201  流动性$69,472(峰值$70,024)  已存档300笔逐笔
[06:19:39] 价格$0.00096664  流动性$69,501(峰值$70,024)  已存档300笔逐笔
[06:20:40] 价格$0.00096664  流动性$69,501(峰值$70,024)  已存档300笔逐笔
[06:21:42] 价格$0.00096793  流动性$69,433(峰值$70,024)  已存档300笔逐笔
[06:22:43] 价格$0.00097997  流动性$69,956(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:23:44] 价格$0.00097997  流动性$69,956(峰值$70,024)  已存档300笔逐笔
[06:24:45] 价格$0.00097329  流动性$69,513(峰值$70,024)  已存档300笔逐笔
[06:25:46] 价格$0.00097769  流动性$69,781(峰值$70,024)  已存档300笔逐笔
[06:26:47] 价格$0.00096369  流动性$69,953(峰值$70,024)  已存档300笔逐笔
[06:27:48] 价格$0.00096369  流动性$69,953(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:28:49] 价格$0.00098327  流动性$69,992(峰值$70,024)  已存档300笔逐笔
[06:29:50] 价格$0.00098327  流动性$69,992(峰值$70,024)  已存档300笔逐笔
[06:30:51] 价格$0.00096091  流动性$69,482(峰值$70,024)  已存档300笔逐笔
[06:31:52] 价格$0.00096374  流动性$69,342(峰值$70,024)  已存档300笔逐笔
[06:32:54] 价格$0.00096815  流动性$69,794(峰值$70,024)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:33:54] 价格$0.00096795  流动性$69,848(峰值$70,024)  已存档300笔逐笔
[06:34:55] 价格$0.00096795  流动性$69,848(峰值$70,024)  已存档300笔逐笔
[06:35:56] 价格$0.00097291  流动性$69,543(峰值$70,024)  已存档300笔逐笔
[06:36:57] 价格$0.00099588  流动性$70,274(峰值$70,274)  已存档300笔逐笔
[06:37:59] 价格$0.00099472  流动性$70,455(峰值$70,455)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:39:01] 价格$0.00098999  流动性$70,489(峰值$70,489)  已存档300笔逐笔
[06:40:02] 价格$0.00098999  流动性$70,489(峰值$70,489)  已存档300笔逐笔
[06:41:04] 价格$0.00097843  流动性$70,439(峰值$70,489)  已存档300笔逐笔
[06:42:05] 价格$0.00098964  流动性$70,433(峰值$70,489)  已存档300笔逐笔
[06:43:07] 价格$0.00099852  流动性$70,667(峰值$70,667)  已存档300笔逐笔  操盘方卖出比例=86.1%
[06:44:08] 价格$0.00099852  流动性$70,667(峰值$70,667)  已存档300笔逐笔
[06:45:09] 价格$0.00097615  流动性$70,212(峰值$70,667)  已存档300笔逐笔
[06:46:11] 价格$0.00097615  流动性$70,212(峰值$70,667)  已存档300笔逐笔
[06:47:12] 价格$0.00097542  流动性$70,104(峰值$70,667)  已存档300笔逐笔
