[01:56:01] === AZyerget 高密度崩盘取证监控启动 ===
[01:56:01] 基线: 价格$0.01011135 流动性$228,417
[05:48:28] 价格$0.00936802  流动性$219,859(峰值$252,499)  已存档300笔逐笔
[05:49:30] 价格$0.00934866  流动性$220,079(峰值$252,499)  已存档300笔逐笔
[05:50:30] 价格$0.00934866  流动性$220,079(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:51:31] 价格$0.00945193  流动性$221,337(峰值$252,499)  已存档300笔逐笔
[05:52:32] 价格$0.00950641  流动性$221,593(峰值$252,499)  已存档300笔逐笔
[05:53:33] 价格$0.00950641  流动性$221,593(峰值$252,499)  已存档300笔逐笔
[05:54:35] 价格$0.00957670  流动性$222,341(峰值$252,499)  已存档300笔逐笔
[05:55:36] 价格$0.00961931  流动性$222,964(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[05:56:37] 价格$0.00963947  流动性$223,143(峰值$252,499)  已存档300笔逐笔
[05:57:38] 价格$0.00965751  流动性$223,859(峰值$252,499)  已存档300笔逐笔
[05:58:39] 价格$0.00973058  流动性$223,731(峰值$252,499)  已存档300笔逐笔
[05:59:40] 价格$0.00975424  流动性$224,308(峰值$252,499)  已存档300笔逐笔
[06:00:42] 价格$0.00976204  流动性$225,009(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:01:42] 价格$0.00977548  流动性$225,126(峰值$252,499)  已存档300笔逐笔
[06:02:44] 价格$0.00983029  流动性$225,260(峰值$252,499)  已存档300笔逐笔
[06:03:45] 价格$0.00987516  流动性$225,301(峰值$252,499)  已存档300笔逐笔
[06:04:46] 价格$0.00987516  流动性$225,301(峰值$252,499)  已存档300笔逐笔
[06:05:47] 价格$0.00994426  流动性$226,131(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:06:48] 价格$0.00996546  流动性$226,938(峰值$252,499)  已存档300笔逐笔
[06:07:50] 价格$0.01002374  流动性$227,180(峰值$252,499)  已存档300笔逐笔
[06:08:51] 价格$0.01002374  流动性$227,180(峰值$252,499)  已存档300笔逐笔
[06:09:52] 价格$0.01008932  流动性$227,894(峰值$252,499)  已存档300笔逐笔
[06:10:53] 价格$0.01006836  流动性$228,452(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:11:54] 价格$0.01011060  流动性$228,535(峰值$252,499)  已存档300笔逐笔
[06:12:55] 价格$0.01011060  流动性$228,535(峰值$252,499)  已存档300笔逐笔
[06:13:56] 价格$0.01021748  流动性$229,312(峰值$252,499)  已存档300笔逐笔
[06:14:57] 价格$0.01021748  流动性$229,312(峰值$252,499)  已存档300笔逐笔
[06:15:58] 价格$0.01031491  流动性$230,443(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:16:59] 价格$0.01031491  流动性$230,443(峰值$252,499)  已存档300笔逐笔
[06:18:00] 价格$0.01036155  流动性$230,850(峰值$252,499)  已存档300笔逐笔
[06:19:01] 价格$0.01037291  流动性$231,229(峰值$252,499)  已存档300笔逐笔
[06:20:03] 价格$0.01037650  流动性$231,098(峰值$252,499)  已存档300笔逐笔
[06:21:04] 价格$0.01044344  流动性$232,162(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:22:06] 价格$0.01050359  流动性$232,963(峰值$252,499)  已存档300笔逐笔
[06:23:06] 价格$0.01050359  流动性$232,963(峰值$252,499)  已存档300笔逐笔
[06:24:07] 价格$0.01056907  流动性$233,624(峰值$252,499)  已存档300笔逐笔
[06:25:09] 价格$0.01056907  流动性$233,624(峰值$252,499)  已存档300笔逐笔
[06:26:10] 价格$0.01065675  流动性$235,040(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:27:11] 价格$0.01065675  流动性$235,040(峰值$252,499)  已存档300笔逐笔
[06:28:12] 价格$0.00927758  流动性$235,286(峰值$252,499)  已存档300笔逐笔
[06:29:13] 价格$0.00818029  流动性$205,096(峰值$252,499)  已存档300笔逐笔
[06:30:14] 价格$0.00817348  流动性$204,926(峰值$252,499)  已存档300笔逐笔
[06:31:16] 价格$0.00817348  流动性$204,926(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:32:17] 价格$0.00818928  流动性$205,172(峰值$252,499)  已存档300笔逐笔
[06:33:18] 价格$0.00819573  流动性$205,855(峰值$252,499)  已存档300笔逐笔
[06:34:19] 价格$0.00819573  流动性$205,855(峰值$252,499)  已存档300笔逐笔
[06:35:20] 价格$0.00820052  流动性$205,656(峰值$252,499)  已存档300笔逐笔
[06:36:21] 价格$0.00820324  流动性$205,975(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:37:23] 价格$0.00823379  流动性$206,670(峰值$252,499)  已存档300笔逐笔
[06:38:24] 价格$0.00826426  流动性$206,617(峰值$252,499)  已存档300笔逐笔
[06:39:24] 价格$0.00826574  流动性$206,335(峰值$252,499)  已存档300笔逐笔
[06:40:25] 价格$0.00829063  流动性$207,011(峰值$252,499)  已存档300笔逐笔
[06:41:26] 价格$0.00829063  流动性$207,011(峰值$252,499)  已存档300笔逐笔  操盘方卖出比例=0.3%
[06:42:28] 价格$0.00836310  流动性$208,063(峰值$252,499)  已存档300笔逐笔
[06:43:29] 价格$0.00841250  流动性$208,444(峰值$252,499)  已存档300笔逐笔
[06:44:30] 价格$0.00846590  流动性$208,891(峰值$252,499)  已存档300笔逐笔
